file,keyword,vol,kd,cpc,intent,has_geo
USHOMEBUY (1).xlsx,what does under contract mean in real estate,5400.0,25,0.02,C,True
USHOMEBUY (1).xlsx,lakewood zip code,4400.0,14,0.0,I,True
USHOMEBUY (1).xlsx,what does active under contract mean,4400.0,24,0.03,I,True
USHOMEBUY (1).xlsx,federa home app,3600.0,27,2.25,I,True
USHOMEBUY (1).xlsx,does a sight adds value to property,2900.0,19,0.0,I,True
USHOMEBUY (1).xlsx,best home renovation ideas for 2025,2900.0,20,0.0,C I,True
USHOMEBUY (1).xlsx,home loan pre approval napier,2900.0,23,0.0,I,True
USHOMEBUY (1).xlsx,under contract meaning,2900.0,27,0.0,C,True
USHOMEBUY (1).xlsx,active under contract meaning,2400.0,26,0.02,C I,True
USHOMEBUY (1).xlsx,how to find nueces county home value appraisal,1900.0,20,0.0,I,True
USHOMEBUY (1).xlsx,need to sell my house fast,1900.0,23,44.79,I,False
USHOMEBUY (1).xlsx,under contract,1900.0,23,0.71,C I,True
USHOMEBUY (1).xlsx,what does it mean when a house is under contract,1900.0,23,0.02,I,True
USHOMEBUY (3).xlsx,sell my house fast houston,1600.0,15,35.22,C,False
USHOMEBUY (1).xlsx,home builder lead generation promise,1600.0,17,0.0,I,True
USHOMEBUY (1).xlsx,va home loan inspection requirements,1600.0,20,0.94,I,True
USHOMEBUY (1).xlsx,how much to paint outside of house,1600.0,22,3.53,I,True
USHOMEBUY (1).xlsx,we buy houses sacramento ca,1600.0,25,30.07,T,False
USHOMEBUY (1).xlsx,we buy houses orlando,1600.0,26,23.25,T,False
USHOMEBUY (1).xlsx,we buy houses san antonio,1600.0,26,36.75,T,False
USHOMEBUY (1).xlsx,active under contract,1600.0,27,0.85,I,True
USHOMEBUY (1).xlsx,residential appraisal cost,1600.0,29,2.87,I,True
USHOMEBUY (1).xlsx,we buy your house cash jackson county mo,1300.0,3,0.0,I,False
USHOMEBUY (1).xlsx,we buy houses eastpointe mi,1300.0,6,0.0,I,False
